Relation,MRR,h@1,h@3,h@10
8,0.03563342166118438,0.014980353634577602,0.029346758349705303,0.06348231827111984
1,0.04720843828603834,0.02485474499677211,0.045190445448676564,0.0829567462879277
7,0.15672895541066945,0.1000445632798574,0.16700089126559714,0.2699420677361854
3,0.014333955795731513,0.0,0.00646830530401035,0.03040103492884864
9,0.430012037065806,0.32577972709551656,0.488182261208577,0.6224415204678363
10,0.3934621057698926,0.2904293954283273,0.44840845973082677,0.5807519760734886
14,0.3336895427725746,0.1970684039087948,0.386289606159313,0.6276280722534794
0,0.14050341645040285,0.07360162893759732,0.15343154868846567,0.27733860342555994
5,0.05066445640674795,0.0173006416131989,0.04468377635197067,0.10712648945921173
19,0.02853365019186116,0.009900990099009901,0.020792079207920793,0.060396039603960394
4,0.020899749919369538,0.004409769335142469,0.012550881953867029,0.04375848032564451
13,0.36298982171578625,0.25962890075906664,0.41102052291256674,0.5626932808546528
11,0.027550773618038947,0.009331727874774232,0.018512944009632753,0.05358217940999398
12,0.12838993703815493,0.0847145488029466,0.13443830570902393,0.21500920810313076
2,0.05325475786787754,0.028963414634146343,0.04878048780487805,0.09298780487804878
6,0.2929332842053269,0.2111587982832618,0.33068669527896993,0.44914163090128756
21,0.040414583172159825,0.020905923344947737,0.03484320557491289,0.06794425087108014
16,0.06378212479115852,0.03323485967503693,0.06868537666174299,0.11225997045790251
23,0.08482824645898414,0.0425531914893617,0.07446808510638298,0.18617021276595744
17,0.025322988374196546,0.007861635220125786,0.0220125786163522,0.05660377358490566
18,0.025297371577396286,0.008838383838383838,0.020202020202020204,0.039141414141414144
22,0.02855923671363022,0.012048192771084338,0.024096385542168676,0.05421686746987952
15,0.03708428386462154,0.018604651162790697,0.03488372093023256,0.06279069767441861
25,0.0011102163314117234,0.0,0.0,0.0
26,8.740099694191286e-05,0.0,0.0,0.0
20,0.01584687192379123,0.007692307692307693,0.011538461538461539,0.026923076923076925
24,0.008470553699108601,0.0,0.0,0.018867924528301886
