Relation,MRR,h@1,h@3,h@10
8,0.042518646905397736,0.01731335952848723,0.03425834970530452,0.08177799607072692
1,0.058854714666795566,0.03001936733376372,0.05455132343447385,0.11233053582956747
7,0.06005872720857355,0.022950089126559714,0.052807486631016046,0.11998663101604277
3,0.0332241751779376,0.01164294954721863,0.022639068564036222,0.06791720569210867
9,0.2171368357858633,0.09904970760233918,0.2172270955165692,0.3557504873294347
10,0.17317405799503185,0.10692159794915616,0.1892757957701346,0.3001495406964324
14,0.38506671221031036,0.249185667752443,0.4505478235119929,0.6612377850162866
0,0.12797263798760178,0.06174392142771589,0.14905976763684273,0.2732063720206013
5,0.058098820329271085,0.022341888175985335,0.05453712190650779,0.12901008249312557
19,0.039297196305522905,0.01485148514851485,0.030693069306930693,0.08316831683168317
4,0.032568439179601616,0.008141112618724558,0.021370420624151967,0.07259158751696065
13,0.13775142114223501,0.06719145347202699,0.15209446162496487,0.2728422828226033
11,0.03694741879206987,0.011288380493678507,0.02679108970499699,0.07916917519566526
12,0.12466895399397647,0.0798035604665439,0.13259668508287292,0.214548802946593
2,0.06590893187106092,0.040396341463414635,0.06097560975609756,0.10746951219512195
6,0.10750183718955866,0.056223175965665236,0.11545064377682404,0.20515021459227467
21,0.07797785264928654,0.047038327526132406,0.06794425087108014,0.11672473867595819
16,0.08085883446060926,0.05465288035450517,0.07385524372230429,0.1240768094534712
23,0.16353237345179922,0.0851063829787234,0.19148936170212766,0.324468085106383
17,0.01761180147030618,0.0031446540880503146,0.012578616352201259,0.03773584905660377
18,0.04708836009300958,0.020202020202020204,0.03535353535353535,0.0946969696969697
22,0.0724698682621113,0.04216867469879518,0.0783132530120482,0.12650602409638553
15,0.0369894604409475,0.011627906976744186,0.037209302325581395,0.08139534883720931
25,0.07196875007231927,0.025,0.1,0.125
26,0.33338928859484074,0.25,0.5,0.5
20,0.050939192199192636,0.026923076923076925,0.05,0.09615384615384616
24,0.04988947456592342,0.02830188679245283,0.04716981132075472,0.08490566037735849
