GG	8349	0.0	0.0	0.0	inf	0.0	0.0	0.0	inf
U	1549	0.33	7.71	2.16	inf	0.3	7.84	2.74	inf
Te	656	0.4	9.22	2.59	inf	0.38	9.45	2.97	inf
Pr	773	0.0	0.0	0.0	inf	0.0	0.0	0.0	inf
Sa	1474	0.01	1.15	1.15	inf	0.01	1.15	1.15	inf
T	4364	69.39	9.14	1.09	inf	57.01	11.53	2.25	inf
B	2330	4.32	50.86	14.36	inf	2.22	57.23	32.06	inf
E	4488	5.58	31.32	6.95	inf	1.92	44.98	17.9	inf
ML	4072	74.17	11.65	1.93	inf	53.31	15.62	2.91	inf
Ra	4104	4.12	66.0	15.87	inf	2.12	71.75	46.33	inf
Rg	4681	8.48	54.14	9.7	inf	2.9	72.85	40.53	inf
P	3322	24.42	12.33	1.54	inf	19.09	14.86	2.2	inf
I	3258	0.28	18.14	13.97	inf	0.27	18.14	14.0	inf
Q	3557	5.33	64.2	12.19	inf	1.99	73.83	51.57	inf
CC	3377	1.42	81.61	45.75	inf	1.36	81.61	48.21	inf
D	215	0.17	7.91	3.49	inf	0.16	7.91	3.72	inf
J	677	0.11	7.39	4.95	inf	0.1	7.39	4.95	inf
X	318	0.0	0.0	0.0	inf	0.0	0.0	0.0	inf
K	396	0.0	0.0	0.0	inf	0.0	0.0	0.0	inf
N	505	0.0	0.0	0.0	inf	0.0	0.0	0.0	inf
O	130	0.0	0.0	0.0	inf	0.0	0.0	0.0	inf
C	287	0.16	6.97	2.44	inf	0.13	6.97	3.66	inf
Z	83	0.0	0.0	0.0	inf	0.0	0.0	0.0	inf
Mp	94	0.49	27.66	17.55	inf	0.41	27.66	21.81	inf
A	53	0.0	0.0	0.0	inf	0.0	0.0	0.0	inf
An	40	0.0	0.0	0.0	inf	0.0	0.0	0.0	inf
As	2	1.25	100.0	75.0	0.875	1.0	100.0	100.0	1.0
