Relation,MRR,h@1,h@3,h@10
0,0.2904538294800859,0.18125,0.3,0.525
1,0.3609534115371504,0.26851851851851855,0.37962962962962965,0.5277777777777778
2,0.17791365729103992,0.08547407753386269,0.18192433442316674,0.36735170481083607
3,0.15375768400563614,0.0654054054054054,0.15297297297297296,0.3345945945945946
4,0.13832888007430597,0.06923652694610778,0.13547904191616766,0.26422155688622756
5,0.18970241759714002,0.11378205128205128,0.18189102564102563,0.3469551282051282
6,0.14773395085339897,0.06179138321995465,0.14342403628117914,0.31462585034013607
7,0.14775481815850644,0.06435045317220543,0.13987915407854984,0.3202416918429003
8,0.15203084345366943,0.0641025641025641,0.16666666666666666,0.31196581196581197
9,0.15883072297094872,0.06832298136645963,0.15838509316770186,0.36645962732919257
10,0.208797969103573,0.11811505507955937,0.22460220318237453,0.3812729498164015
11,0.14974725616992632,0.0651840490797546,0.14570552147239263,0.31901840490797545
12,0.10289318778890076,0.03940886699507389,0.09113300492610837,0.21182266009852216
13,0.10945870773791821,0.03639240506329114,0.09651898734177215,0.2610759493670886
14,0.1364545329759235,0.04906542056074766,0.1378504672897196,0.32009345794392524
15,0.13645857435434333,0.04956896551724138,0.1314655172413793,0.3275862068965517
16,0.13765518902682172,0.061330561330561334,0.12785862785862787,0.28378378378378377
17,0.1638610603969215,0.07018518518518518,0.16777777777777778,0.3535185185185185
18,0.17699266369218436,0.09786821705426356,0.17248062015503876,0.32170542635658916
19,0.24594036717759493,0.14534883720930233,0.26744186046511625,0.45348837209302323
20,0.12454915032098557,0.04054054054054054,0.10810810810810811,0.32432432432432434
21,0.19841532304811216,0.0933852140077821,0.20038910505836577,0.43190661478599224
22,0.11656126912822799,0.04035874439461883,0.10762331838565023,0.24887892376681614
23,0.11154355230672006,0.04094292803970223,0.09181141439205956,0.24937965260545905
24,0.18152411995623116,0.09334763948497854,0.1781115879828326,0.3583690987124464
25,0.1219229589869837,0.046348314606741575,0.1074438202247191,0.2808988764044944
26,0.11784130044482949,0.045121951219512194,0.10121951219512196,0.2646341463414634
27,0.29035583356210365,0.22388059701492538,0.29850746268656714,0.44029850746268656
28,0.1823029363328067,0.08196721311475409,0.18442622950819673,0.36475409836065575
29,0.1325378709712431,0.05666316894018888,0.12801678908709338,0.2864637985309549
30,0.2266688523544909,0.12318113396889112,0.24460612142498744,0.43100852985449073
31,0.26337742189254965,0.16623376623376623,0.2649350649350649,0.45714285714285713
32,0.15524327601894813,0.06744704570791528,0.14994425863991082,0.33890746934225197
33,0.16751276922866906,0.07867820613690008,0.16758457907159716,0.35051140833988986
34,0.26408672185947535,0.16666666666666666,0.29914529914529914,0.4358974358974359
35,0.2540142035663383,0.15258215962441316,0.25821596244131456,0.4624413145539906
36,0.1598531100076503,0.06467661691542288,0.16169154228855723,0.35323383084577115
37,0.15200845953091258,0.059782608695652176,0.1358695652173913,0.3532608695652174
38,0.12211629060642024,0.048484848484848485,0.10757575757575757,0.2636363636363636
39,0.16130911213650181,0.08113590263691683,0.1643002028397566,0.31288032454361053
40,0.18829891995293518,0.09306930693069307,0.200990099009901,0.36633663366336633
41,0.13742128716943808,0.05944055944055944,0.13286713286713286,0.2923951048951049
42,0.2182516896873399,0.10507246376811594,0.2318840579710145,0.48188405797101447
43,0.17850874951792242,0.10109289617486339,0.16666666666666666,0.33469945355191255
44,0.3241762628405756,0.23076923076923078,0.33076923076923076,0.5153846153846153
45,0.19097893555162943,0.10824742268041238,0.18041237113402062,0.3427835051546392
46,0.16993870899738697,0.07880434782608696,0.17391304347826086,0.3451086956521739
47,0.14672589182183848,0.06521739130434782,0.12318840579710146,0.3188405797101449
48,0.23585046135325632,0.12352941176470589,0.23529411764705882,0.5
49,0.17026906702362377,0.08089668615984405,0.1695906432748538,0.3586744639376218
50,0.18267276462284174,0.07746478873239436,0.16901408450704225,0.4507042253521127
51,0.1873041967713278,0.08796296296296297,0.18055555555555555,0.4012345679012346
52,0.3163460603918507,0.20121951219512196,0.3475609756097561,0.5121951219512195
53,0.23169706190328984,0.15714285714285714,0.22142857142857142,0.38571428571428573
54,0.2518910232184524,0.1445578231292517,0.2755102040816326,0.477891156462585
55,0.14903121853905807,0.06521739130434782,0.13768115942028986,0.322463768115942
56,0.3000959982428016,0.20909090909090908,0.31136363636363634,0.49318181818181817
57,0.12478288009878635,0.024509803921568627,0.11274509803921569,0.35784313725490197
58,0.21524484326089333,0.11274131274131274,0.23243243243243245,0.41274131274131276
59,0.2704484286109039,0.17032967032967034,0.3021978021978022,0.489010989010989
60,0.2224864276741352,0.1349206349206349,0.22486772486772486,0.42592592592592593
61,0.147360018342777,0.05859375,0.13671875,0.34765625
62,0.19262520087649604,0.09851301115241635,0.1895910780669145,0.379182156133829
63,0.15891019437408266,0.07847533632286996,0.14798206278026907,0.3071748878923767
64,0.15048850043847098,0.057328605200945626,0.15602836879432624,0.33747044917257685
65,0.23711924319384065,0.128,0.252,0.46
66,0.20423134652541663,0.11072664359861592,0.21972318339100347,0.38235294117647056
67,0.4687924737172726,0.34615384615384615,0.5439560439560439,0.7142857142857143
68,0.169895074285437,0.0821917808219178,0.15753424657534246,0.363013698630137
69,0.20114998138209858,0.1,0.2161290322580645,0.432258064516129
70,0.1064731332154666,0.03678929765886288,0.10033444816053512,0.22240802675585283
71,0.21473841436761187,0.1038961038961039,0.21428571428571427,0.43506493506493504
72,0.14905770910679408,0.061046511627906974,0.14244186046511628,0.3168604651162791
73,0.20972412704723367,0.10295497185741088,0.22303001876172607,0.4230769230769231
74,0.1874755263621648,0.0997229916897507,0.19113573407202217,0.36426592797783935
75,0.14953470681356862,0.06463878326996197,0.15114068441064638,0.31368821292775667
76,0.21417365498875718,0.12259970457902511,0.22451994091580502,0.3914327917282127
77,0.10893274065885097,0.04183266932270916,0.08964143426294821,0.2450199203187251
78,0.18383200460041751,0.084,0.2,0.404
79,0.11926932986476586,0.04340836012861737,0.11173633440514469,0.2737138263665595
80,0.14367468630246014,0.05251141552511415,0.13926940639269406,0.3287671232876712
81,0.20706708106519037,0.08860759493670886,0.21518987341772153,0.47468354430379744
82,0.14543270005989875,0.06572164948453608,0.13724226804123713,0.30283505154639173
83,0.1788109442355298,0.08751902587519025,0.1811263318112633,0.3691019786910198
84,0.17153179873975485,0.058823529411764705,0.18627450980392157,0.39215686274509803
85,0.11544809890639898,0.04391891891891892,0.10472972972972973,0.2533783783783784
86,0.13090797638776408,0.04424778761061947,0.12389380530973451,0.28761061946902655
87,0.15585311956675504,0.07163053722902922,0.1531573986804901,0.323751178133836
88,0.18303441584582375,0.09722222222222222,0.18518518518518517,0.3611111111111111
89,0.12527427574813124,0.05714285714285714,0.09523809523809523,0.3
90,0.13791077880975447,0.05529411764705883,0.13176470588235295,0.3070588235294118
91,0.19441911130759737,0.1,0.21194029850746268,0.3761194029850746
92,0.19872133255690916,0.11176470588235295,0.17058823529411765,0.38823529411764707
93,0.1853102037697519,0.08383233532934131,0.18113772455089822,0.4086826347305389
94,0.19826432597691918,0.1111111111111111,0.19444444444444445,0.4027777777777778
95,0.3209562296539554,0.16071428571428573,0.4226190476190476,0.6190476190476191
96,0.15682371886056828,0.07601713062098502,0.15738758029978586,0.3222698072805139
97,0.12833192574486663,0.06189710610932476,0.1189710610932476,0.25562700964630225
98,0.18515092891129395,0.09099181073703366,0.18903548680618745,0.3680618744313012
99,0.3086398346674782,0.2032258064516129,0.3258064516129032,0.5193548387096775
100,0.17372663369734975,0.0947867298578199,0.15876777251184834,0.33886255924170616
101,0.18088989327890703,0.07534246575342465,0.19863013698630136,0.3767123287671233
102,0.16927532349400573,0.08852459016393442,0.1737704918032787,0.319672131147541
103,0.19213403929504505,0.10090433127082342,0.1949071870537839,0.37767729652546406
104,0.2271277726157357,0.13105590062111802,0.246583850931677,0.40869565217391307
105,0.15482281475928147,0.07493426818580193,0.14548641542506574,0.3238387379491674
106,0.2136808548107113,0.1183206106870229,0.22137404580152673,0.4122137404580153
107,0.3330909336845721,0.234375,0.33203125,0.5859375
108,0.15637420279508632,0.07701421800947868,0.15462085308056872,0.30864928909952605
109,0.10143978298032766,0.03367875647668394,0.08808290155440414,0.24093264248704663
110,0.19077254881994657,0.09259259259259259,0.2,0.37777777777777777
111,0.18651762390629467,0.07964601769911504,0.19469026548672566,0.415929203539823
112,0.12841390234777664,0.04639175257731959,0.11512027491408934,0.28865979381443296
113,0.14552455678636053,0.06060606060606061,0.15151515151515152,0.32575757575757575
114,0.16735888627316511,0.08494208494208494,0.15637065637065636,0.3532818532818533
115,0.14261368620628076,0.07035175879396985,0.12562814070351758,0.2914572864321608
116,0.15023380101034473,0.057692307692307696,0.14423076923076922,0.34615384615384615
117,0.16170618235402134,0.07997311827956989,0.1586021505376344,0.32661290322580644
118,0.1427018611584124,0.0639269406392694,0.14383561643835616,0.2975646879756469
119,0.13603406644532381,0.05922551252847381,0.12813211845102507,0.2901480637813212
120,0.12828111864126412,0.046875,0.109375,0.28125
121,0.1411729549730097,0.06451612903225806,0.1348973607038123,0.3035190615835777
122,0.1739845476192179,0.078125,0.1875,0.375
123,0.17110682673514413,0.08688524590163935,0.173224043715847,0.3366120218579235
124,0.29823987869660507,0.1721311475409836,0.36065573770491804,0.5819672131147541
125,0.15220422029279337,0.04918032786885246,0.1721311475409836,0.3360655737704918
126,0.15968982726440104,0.07009345794392523,0.16355140186915887,0.3317757009345794
127,0.13763582174165837,0.054455445544554455,0.13295615275813297,0.30905233380480907
128,0.28158733372037703,0.1782178217821782,0.30198019801980197,0.49504950495049505
129,0.21509176977604705,0.10693069306930693,0.24158415841584158,0.4287128712871287
130,0.1121660459968044,0.040952380952380955,0.09523809523809523,0.25333333333333335
131,0.18901694648379141,0.10260115606936417,0.20086705202312138,0.3540462427745665
132,0.3132253789470895,0.20606060606060606,0.3424242424242424,0.5212121212121212
133,0.1426778520316924,0.05538922155688623,0.14520958083832336,0.30988023952095806
134,0.23059034802547368,0.1351590106007067,0.24293286219081273,0.4196113074204947
135,0.10833573412986623,0.04044117647058824,0.10110294117647059,0.23345588235294118
136,0.14605909012260856,0.06910569105691057,0.12601626016260162,0.32926829268292684
137,0.1179891014667792,0.03755868544600939,0.11150234741784038,0.27582159624413144
138,0.15834012896289765,0.07457983193277311,0.15231092436974789,0.34243697478991597
139,0.1367111349715236,0.05803571428571429,0.12797619047619047,0.27232142857142855
140,0.26810978706834615,0.16666666666666666,0.3010752688172043,0.44086021505376344
141,0.12061424082883074,0.042689434364994665,0.11632870864461047,0.26680896478121663
142,0.17926911844922994,0.10052910052910052,0.17328042328042328,0.3373015873015873
143,0.1596499616349884,0.08141382049245433,0.15528196981731532,0.3089753772835584
144,0.19893776676921082,0.10526315789473684,0.19298245614035087,0.39473684210526316
145,0.16792172691183233,0.08311688311688312,0.16493506493506493,0.34285714285714286
146,0.21707895810458208,0.11979166666666667,0.22864583333333333,0.4046875
147,0.14806933197081917,0.042735042735042736,0.15384615384615385,0.38461538461538464
148,0.32481663895054796,0.21706586826347304,0.36077844311377244,0.5419161676646707
149,0.23176085162394106,0.13203463203463203,0.23376623376623376,0.4393939393939394
150,0.17183731879335895,0.0625,0.19444444444444445,0.3680555555555556
151,0.1790749789471174,0.08755760368663594,0.1774193548387097,0.3548387096774194
152,0.25898984838794253,0.16261398176291794,0.25987841945288753,0.46048632218844987
153,0.3240919707372221,0.19523809523809524,0.36666666666666664,0.580952380952381
154,0.3538711015417241,0.24475524475524477,0.3916083916083916,0.5646853146853147
155,0.3229068783124518,0.19594594594594594,0.3716216216216216,0.5945945945945946
156,0.3121353827412885,0.21739130434782608,0.32065217391304346,0.5380434782608695
157,0.21304205301935947,0.12834224598930483,0.21657754010695188,0.39037433155080214
158,0.13536878022048582,0.057702488088935945,0.12758073054526203,0.2832186341979884
159,0.30912555340853937,0.21370967741935484,0.3407258064516129,0.4717741935483871
160,0.23434695952324672,0.1317365269461078,0.23952095808383234,0.45209580838323354
161,0.15659648889734396,0.06774457634056488,0.15309046254604994,0.3393368808841588
162,0.13475763802796947,0.05040871934604905,0.13215258855585832,0.3133514986376022
163,0.20863023849623946,0.09016393442622951,0.26229508196721313,0.4426229508196721
164,0.1849240730225307,0.09322033898305085,0.19128329297820823,0.3686440677966102
165,0.16060096216196182,0.0749135612754514,0.16116019976949675,0.3313484441029581
166,0.15996140462822817,0.08116883116883117,0.16071428571428573,0.31006493506493504
167,0.17685125784382055,0.09838709677419355,0.16774193548387098,0.3225806451612903
168,0.1962602719416321,0.11158798283261803,0.20314735336194564,0.3547925608011445
169,0.10594347471764037,0.029585798816568046,0.08579881656804733,0.2514792899408284
170,0.17189420166299227,0.07228915662650602,0.1686746987951807,0.39156626506024095
171,0.17368244001098032,0.0871943371943372,0.1788931788931789,0.34266409266409265
172,0.227458360250313,0.14095744680851063,0.22739361702127658,0.40558510638297873
173,0.2268011018722231,0.11764705882352941,0.22549019607843138,0.5
174,0.1907711191716556,0.10212418300653595,0.1977124183006536,0.369281045751634
175,0.1758295281338587,0.07991360691144708,0.1771058315334773,0.37904967602591794
176,0.15643713974190623,0.07352941176470588,0.15522875816993464,0.32189542483660133
177,0.2262641147156767,0.13496932515337423,0.23466257668711657,0.4049079754601227
178,0.16561736562827736,0.06796116504854369,0.17233009708737865,0.3737864077669903
179,0.14105163007032492,0.06275862068965517,0.13034482758620689,0.3
180,0.14865830957237486,0.06764705882352941,0.1411764705882353,0.3205882352941177
181,0.1697809525975376,0.0742296918767507,0.17051820728291317,0.3588935574229692
182,0.19010415548336268,0.10606060606060606,0.1856060606060606,0.36742424242424243
183,0.13010287637150753,0.053203040173724216,0.11997828447339848,0.2904451682953312
184,0.1421892643015831,0.06228373702422145,0.13321799307958476,0.29700115340253747
185,0.1912730589698192,0.09230769230769231,0.2,0.4153846153846154
