MRR,h@1,h@3,h@10,iteration,params
-0.09239123373078521,0.03463131116186656,0.09416374203851224,0.20515105936530928,1,"['--batch-size', '2048', '--data', 'covid', '--embedding-size', '102', '--epochs', '400', '--learning-rate', '0.7405442323459803', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '0.0022033294762539867', '--valid']"
-0.08914063287311168,0.034362059680983416,0.08978144207379347,0.19213414294468276,2,"['--batch-size', '2048', '--data', 'covid', '--embedding-size', '89', '--epochs', '400', '--learning-rate', '0.6864066160524598', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '200', '--quiet', '--reg-weight', '2.0490186470704747e-07', '--valid']"
-0.11350280375382031,0.04477930663101406,0.12694743096949102,0.24972610625220507,3,"['--batch-size', '512', '--data', 'covid', '--embedding-size', '154', '--epochs', '400', '--learning-rate', '0.15119572921897842', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '6', '--quiet', '--reg-weight', '3.643988747349227e-05', '--valid']"
-0.051439847663956026,-1,-1,-1,4,"['--batch-size', '512', '--data', 'covid', '--embedding-size', '82', '--epochs', '400', '--learning-rate', '0.9712817368402019', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '6', '--quiet', '--reg-weight', '0.009853019328393154', '--valid']"
-0.051439847663956026,-1,-1,-1,5,"['--batch-size', '2048', '--data', 'covid', '--embedding-size', '112', '--epochs', '400', '--learning-rate', '0.2931076337886864', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '2.299711721996368e-05', '--valid']"
-0.051439847663956026,-1,-1,-1,6,"['--batch-size', '512', '--data', 'covid', '--embedding-size', '54', '--epochs', '400', '--learning-rate', '0.42142759082069386', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '6', '--quiet', '--reg-weight', '0.031107573813518512', '--valid']"
-0.051439847663956026,-1,-1,-1,7,"['--batch-size', '2048', '--data', 'covid', '--embedding-size', '107', '--epochs', '400', '--learning-rate', '0.617962739168678', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '3.7273568415436164e-08', '--valid']"
-0.051439847663956026,-1,-1,-1,8,"['--batch-size', '2048', '--data', 'covid', '--embedding-size', '105', '--epochs', '400', '--learning-rate', '0.19585809378179014', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '6', '--quiet', '--reg-weight', '5.216714425826578e-06', '--valid']"
-0.052022870969162666,-1,-1,-1,9,"['--batch-size', '2048', '--data', 'covid', '--embedding-size', '174', '--epochs', '400', '--learning-rate', '0.9808185476245429', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '200', '--quiet', '--reg-weight', '1.5014092976084201e-05', '--valid']"
-0.052022870969162666,-1,-1,-1,10,"['--batch-size', '512', '--data', 'covid', '--embedding-size', '185', '--epochs', '400', '--learning-rate', '0.018556020632498203', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '0.0004930888642272153', '--valid']"
-0.052022870969162666,-1,-1,-1,11,"['--batch-size', '1024', '--data', 'covid', '--embedding-size', '163', '--epochs', '400', '--learning-rate', '0.30052938855409234', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '0.000336440221508591', '--valid']"
-0.052022870969162666,-1,-1,-1,12,"['--batch-size', '1024', '--data', 'covid', '--embedding-size', '137', '--epochs', '400', '--learning-rate', '0.8070630150385653', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '4.507478432627461e-10', '--valid']"
-0.03619546121878122,-1,-1,-1,13,"['--batch-size', '1024', '--data', 'covid', '--embedding-size', '187', '--epochs', '400', '--learning-rate', '0.9474319149881139', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '0.007158403841169086', '--valid']"
-0.04858128070600235,-1,-1,-1,14,"['--batch-size', '1024', '--data', 'covid', '--embedding-size', '142', '--epochs', '400', '--learning-rate', '0.984782655427021', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '200', '--quiet', '--reg-weight', '1.952014389133866e-07', '--valid']"
