MRR,h@1,h@3,h@10,iteration,params
-0.10303449363415029,0.03929214714129203,0.11160009655915176,0.22533563589772157,1,"['--batch-size', '2048', '--data', 'covid', '--embedding-size', '114', '--epochs', '600', '--learning-rate', '0.9011883450558777', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '5.2090201030525835e-05', '--valid']"
-0.10437587867347016,0.04100978589865003,0.11376339294004048,0.22510352255213265,2,"['--batch-size', '512', '--data', 'covid', '--embedding-size', '110', '--epochs', '600', '--learning-rate', '0.44220313362918867', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '1.214515358734122e-10', '--valid']"
-0.10025759602217975,0.047351122500139266,0.10175849070618165,0.19930180305646852,3,"['--batch-size', '512', '--data', 'covid', '--embedding-size', '94', '--epochs', '600', '--learning-rate', '0.008868554035308576', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '5.565154388481145e-09', '--valid']"
-0.05794833162256056,-1,-1,-1,4,"['--batch-size', '1024', '--data', 'covid', '--embedding-size', '68', '--epochs', '600', '--learning-rate', '0.8843228736990417', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '6', '--quiet', '--reg-weight', '5.2641523931547866e-09', '--valid']"
-0.134547624575158,0.06254061983547807,0.15857055317252522,0.27188828848903496,5,"['--batch-size', '1024', '--data', 'covid', '--embedding-size', '149', '--epochs', '600', '--learning-rate', '0.6272751925819384', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '0.0018324929434715388', '--valid']"
-0.0752994953875425,0.02829925909420088,0.06920691512079179,0.1595361446901751,6,"['--batch-size', '512', '--data', 'covid', '--embedding-size', '62', '--epochs', '600', '--learning-rate', '0.36426085442408934', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '200', '--quiet', '--reg-weight', '1.7032661686464663e-05', '--valid']"
-0.13779341275334053,0.0649360295619557,0.16148589679312203,0.28134922845523924,7,"['--batch-size', '2048', '--data', 'covid', '--embedding-size', '180', '--epochs', '600', '--learning-rate', '0.21907448378599437', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '6', '--quiet', '--reg-weight', '1.3131436405024472e-05', '--valid']"
-0.05813323712808765,-1,-1,-1,8,"['--batch-size', '1024', '--data', 'covid', '--embedding-size', '103', '--epochs', '600', '--learning-rate', '0.963336615101897', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '200', '--quiet', '--reg-weight', '1.0148740424371304e-07', '--valid']"
-0.14425527685258005,0.07024678290903014,0.16973984736226394,0.2860843407052532,9,"['--batch-size', '2048', '--data', 'covid', '--embedding-size', '192', '--epochs', '600', '--learning-rate', '0.48417378558468427', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '6', '--quiet', '--reg-weight', '1.9730475614624304e-10', '--valid']"
-0.09530082775792655,0.03581044695745827,0.09897313055911462,0.21009043135944144,10,"['--batch-size', '2048', '--data', 'covid', '--embedding-size', '101', '--epochs', '600', '--learning-rate', '0.8135460414907395', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '0.03342308069725433', '--valid']"
