MRR,h@1,h@3,h@10,iteration,params
-0.15045547318191005,0.06667381166939343,0.1473241235706349,0.3179741292574738,1,"['--batch-size', '128', '--data', 'pse', '--embedding-size', '139', '--learning-rate', '0.24046265266524317', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '0.0008661849907472606', '--rel-emb-size', '107', '--tucker-reg-weight', '1.0627020167951249e-10', '--valid']"
-0.1394021974143816,0.058846752814985255,0.13383975362864067,0.2989450913831267,2,"['--batch-size', '268', '--data', 'pse', '--embedding-size', '103', '--learning-rate', '0.4520184444857243', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '1.2461139412404961e-08', '--rel-emb-size', '129', '--tucker-reg-weight', '1.976057685213446e-08', '--valid']"
-0.15170133557631543,0.06649883201077875,0.14873489706821583,0.3229687048880568,3,"['--batch-size', '512', '--data', 'pse', '--embedding-size', '177', '--learning-rate', '0.03408429614492629', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '2.0957146934785836e-09', '--rel-emb-size', '152', '--tucker-reg-weight', '3.771363378711904e-08', '--valid']"
-0.13826086017246358,0.05765142302207368,0.13193028810400792,0.29868480914093737,4,"['--batch-size', '512', '--data', 'pse', '--embedding-size', '193', '--learning-rate', '0.004941453557595336', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '2.8673474307348713e-06', '--rel-emb-size', '85', '--tucker-reg-weight', '0.00019808554273360277', '--valid']"
-0.13300732967809878,0.05377015546942668,0.1267093325400922,0.29002987777670847,5,"['--batch-size', '512', '--data', 'pse', '--embedding-size', '177', '--learning-rate', '0.6101458626112117', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '0.00021533609421155303', '--rel-emb-size', '199', '--tucker-reg-weight', '0.00013164626863788813', '--valid']"
-0.135723935703666,0.05583272819534729,0.12967086326214577,0.293381831862046,6,"['--batch-size', '268', '--data', 'pse', '--embedding-size', '104', '--learning-rate', '0.07906041924956231', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '4.010752701504959e-05', '--rel-emb-size', '198', '--tucker-reg-weight', '5.234347033866527e-05', '--valid']"
-0.1341642063005997,0.0551524947724827,0.1277690530975774,0.2894819727206712,7,"['--batch-size', '512', '--data', 'pse', '--embedding-size', '58', '--learning-rate', '0.6157526871312305', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '0.003193714138924001', '--rel-emb-size', '161', '--tucker-reg-weight', '0.013728783688999218', '--valid']"
-0.13736228387419488,0.05693510004461981,0.13175312119966054,0.2965227167341796,8,"['--batch-size', '268', '--data', 'pse', '--embedding-size', '80', '--learning-rate', '0.008861597377308655', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '0.0006202144198687526', '--rel-emb-size', '167', '--tucker-reg-weight', '1.1079886411171317e-08', '--valid']"
-0.14237611814030152,0.059732587336722105,0.1375329180482769,0.3078089047148269,9,"['--batch-size', '268', '--data', 'pse', '--embedding-size', '198', '--learning-rate', '0.4540938399690318', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '1.1935571141982231e-08', '--rel-emb-size', '107', '--tucker-reg-weight', '5.123221099968475e-10', '--valid']"
-0.1518277538828535,0.06696471535184034,0.148629909273047,0.32158308471640173,10,"['--batch-size', '128', '--data', 'pse', '--embedding-size', '168', '--learning-rate', '0.045555702318735625', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '1.489311447553616e-07', '--rel-emb-size', '118', '--tucker-reg-weight', '1.869452931499541e-06', '--valid']"
-0.1484747162667872,0.06580438149065171,0.14439868240317064,0.312909561763445,11,"['--batch-size', '268', '--data', 'pse', '--embedding-size', '115', '--learning-rate', '0.015987449927575784', '--mcl', 'True', '--model', 'tucker', '--quiet', '--reg-weight', '0.0008883085130183682', '--rel-emb-size', '62', '--tucker-reg-weight', '1.8566048114369892e-10', '--valid']"
